com.samsung.health.food_info,6307003,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
0.0,0.0,0.0,,0.0,"110.0 kcal, 1",,quickinput-699b6d22-8982-429d-9b7b-73fda3099039,1,0.0,2.0,0.0,2019-05-07 22:14:25.015,2019-05-07 22:14:17.207,,3.0,,6.0,Potatoes ,1.0,,0.0,110.0,serving,,1nlD1Z6VIo,120001,0.0,0.0,com.sec.android.app.shealth,26.0,1.0,5541698b-a469-420c-aea8-1e3cf7733137,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,fatsecret-800,244,100.0,0.0,4.81,2019-05-07 22:20:05.731,2019-05-07 22:20:05.731,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,1nlD1Z6VIo,g,3.067,,com.sec.android.app.shealth,11.42,2.0,d8e80b40-8b0d-427c-82d8-31cd5a3f47f0,1,
0.0,0.0,0.0,,0.0,"0 kcal, Per 100g",,fatsecret-37922,237,5.0,0.0,0.0,2019-05-06 14:05:21.218,2019-05-06 14:04:43.521,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,1nlD1Z6VIo,g,0.0,,com.sec.android.app.shealth,0.0,,8113beb9-5811-4e6e-a64d-d72bfac4702a,1,
0.0,0.0,7.0,,0.0,,,fatsecret-60181,113,280.0,5.0,18.0,2019-05-06 21:35:57.077,2019-05-06 21:35:57.077,0.0,5.0,0.0,6.0,Waffle Potato Fries (Medium)(Chick-fil-A),0.0,,2.0,360.0,serving,,1nlD1Z6VIo,g,0.0,0.0,com.sec.android.app.shealth,43.0,0.31388888,47db9aed-d77b-4869-b533-34581675760f,1,
,0.0,0.0,,55.0,"200 kcal, Per 1 serving",,fatsecret-942545,57,790.0,1.0,10.0,2019-05-06 21:34:35.809,2019-05-06 21:34:35.809,,21.0,,,Chicken Nuggets (6 Count)(Chick-fil-A),1.0,,,200.0,serving,,1nlD1Z6VIo,g,2.0,0.0,com.sec.android.app.shealth,7.0,0.285,a22c5ffb-d71d-475e-bb4d-6892f5d07888,1,
,0.0,4.0,,75.0,"260 kcal, Per 1 serving",,fatsecret-27279,4,980.0,1.0,12.0,2019-05-06 22:04:58.954,2019-05-06 22:04:58.954,,28.0,,6.0,Chicken Nuggets (8 Count)(Chick-fil-A),0.0,,2.0,260.0,serving,,1nlD1Z6VIo,oz,2.5,0.0,com.sec.android.app.shealth,9.0,,9f4456a1-6008-42cf-855c-dd18821e9b50,1,
50.0,0.0,0.0,,0.0,"150 kcal, Per 12 chips",,fatsecret-8843673,28,210.0,1.0,8.0,2019-05-07 22:02:56.767,2019-05-07 22:02:56.767,0.0,2.0,0.0,0.0,Nacho Cheese Tortilla Chips (28g)(Doritos),0.0,,2.0,150.0,serving,,1nlD1Z6VIo,g,1.0,0.0,com.sec.android.app.shealth,18.0,0.18666667,0f077b3f-a56e-452d-b639-2397a7404e91,1,
0.0,0.0,0.0,,0.0,"247 kcal, Per 100g",,fatsecret-7466,4,0.0,0.1,0.01,2019-05-06 14:26:53.527,2019-05-06 14:26:53.527,0.003,0.0,0.005,0.0,Chewing Gum (Sugared),2.64,,0.0,10.0,piece,,1nlD1Z6VIo,g,0.002,,com.sec.android.app.shealth,2.64,0.4,ceeacb6c-ae41-4ae7-aed5-2899ebc7367f,1,
,,,,,"120 kcal, Per 1 roll",,fatsecret-707481,0,105.0,1.0,1.0,2019-09-05 02:31:16.608,2019-09-05 02:31:16.608,,4.0,,,Dinner Rolls(Texas Roadhouse),3.0,,,120.0,serving,,1nlD1Z6VIo,,,,com.sec.android.app.shealth,24.0,,39046380-b94f-4e0f-9cee-66d7fbeace09,1,
503.0,,,,20.0,"309 kcal, Per 1 potato",,fatsecret-251396,0,148.0,5.0,8.0,2019-09-05 02:31:16.610,2019-09-05 02:31:16.610,2.0,3.0,,,Loaded Sweet Potato(Texas Roadhouse),31.0,,,309.0,serving,,1nlD1Z6VIo,,5.0,,com.sec.android.app.shealth,59.0,,deb32dd5-7a5c-48cb-80da-9c60a2093772,1,
