com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2024-09-29 04:00:00.000,,,1,,2024-09-29 12:21:15.072,2024-09-29 12:21:15.072,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-09-30 03:59:59.999,435c7f03-772f-4b50-8819-cd69f11d2b7a,
1,2024-10-07 04:00:00.000,,,1,,2024-10-07 13:47:41.144,2024-10-07 13:47:41.144,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-10-08 03:59:59.999,316b79a3-a342-41af-be45-e0eabc232cd8,
1,2024-10-08 04:00:00.000,,,1,,2024-10-08 13:07:58.812,2024-10-08 13:07:58.812,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-10-09 03:59:59.999,f7b1e5e6-ce3c-4526-a08c-22227dce13dc,
1,2024-10-09 04:00:00.000,,,1,,2024-10-09 14:28:00.515,2024-10-09 14:28:00.515,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-10-10 03:59:59.999,de1daed3-2dab-4c50-8285-879b163c65e9,
1,2024-11-02 04:00:00.000,,,1,,2024-11-02 13:46:04.476,2024-11-02 13:46:04.476,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-11-03 03:59:59.999,2adff424-8feb-4b93-a646-f645cb11a222,
0,2025-09-30 00:54:58.801,,,0,,2025-12-28 07:50:33.309,2024-11-02 18:52:55.647,,weight_1_month_streak,,,UTC-0400,,srp9fWplyX,com.sec.android.app.shealth,,tracker.weight,2025-09-30 00:54:58.801,5c355ffd-d6ca-4bb7-a481-8e124c94ffba,
1,2024-11-08 05:00:00.000,,,1,,2024-11-08 12:45:02.017,2024-11-08 12:45:02.017,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-11-09 04:59:59.999,6fd5fffc-d072-4bc6-9857-0a61cf48173c,
1,2024-11-09 05:00:00.000,,,1,,2024-11-09 12:02:59.223,2024-11-09 12:02:59.223,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-11-10 04:59:59.999,d8cc1135-41eb-4002-9755-bd1694bbae08,
1,2024-11-14 05:00:00.000,,,1,,2024-11-14 13:27:53.347,2024-11-14 13:27:53.347,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-11-15 04:59:59.999,7787e473-bab3-40a8-ab5b-1a72ec66ad3e,
1,2024-11-20 05:00:00.000,,,1,,2024-11-20 13:12:50.394,2024-11-20 13:12:50.394,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-11-21 04:59:59.999,8992ffa1-d687-4a60-a14f-3426bc25b975,
1,2024-12-01 05:00:00.000,,,1,,2024-12-01 13:32:24.902,2024-12-01 13:32:24.902,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-12-02 04:59:59.999,639b3874-b0c8-4e2e-b995-403347d842e9,
1,2024-12-02 05:00:00.000,,,1,,2024-12-02 11:13:17.036,2024-12-02 11:13:17.036,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-12-03 04:59:59.999,20b6edea-639d-4197-baf1-f016f23ca589,
1,2024-12-08 05:00:00.000,,,1,,2024-12-08 12:57:02.079,2024-12-08 12:57:02.079,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-12-09 04:59:59.999,ce96e9ff-bfe7-4d1d-8a06-5ad36602c221,
1,2024-12-12 05:00:00.000,,,1,,2024-12-12 11:25:44.272,2024-12-12 11:25:44.272,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2024-12-13 04:59:59.999,5dd098a0-b058-48c6-8d9f-0a39032d973c,
1,2025-01-01 05:00:00.000,,,1,,2025-01-01 16:02:44.519,2025-01-01 16:02:44.519,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-01-02 04:59:59.999,5f2156e4-f840-44c4-8ea2-e86f22754b45,
0,2025-01-03 00:00:00.000,,,0,,2025-01-06 05:00:01.024,2025-01-04 05:01:17.599,,nutrition_7_days_streak,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,goal.nutrition,2025-01-04 23:59:59.999,a03d38c5-ca27-49bc-9813-3973e017838a,
1,2025-01-05 05:00:00.000,,,1,,2025-01-05 14:25:30.833,2025-01-05 14:25:30.833,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-01-06 04:59:59.999,5067af49-bbb6-4954-8aa2-73098cc36f4b,
1,2025-01-06 05:00:00.000,,,1,,2025-01-06 14:13:33.254,2025-01-06 14:13:33.254,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-01-07 04:59:59.999,8e12cddd-bf38-4793-b833-981b8cd9466a,
,2025-01-14 00:00:00.000,,,1,,2025-01-14 12:35:15.625,2025-01-14 12:35:15.625,,vitality_first_measure,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-01-14 00:00:00.000,7c023cb3-da1b-478d-869f-869f555221f1,
,2025-01-14 00:00:00.000,,,1,,2025-01-14 12:35:15.671,2025-01-14 12:35:15.671,,vitality_good,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-01-14 00:00:00.000,0320137a-841d-4e19-98ff-d01cfb55485f,
,2025-01-19 00:00:00.000,,,1,,2025-01-19 14:00:02.371,2025-01-19 14:00:02.371,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-01-19 00:00:00.000,eb15d758-052b-46fd-9310-65545520b79e,
,2025-01-27 00:00:00.000,,,1,,2025-01-27 14:47:51.388,2025-01-27 14:47:51.388,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-01-27 00:00:00.000,17472e5d-5516-403e-bbf7-bd36a777afad,
1,2025-02-01 05:00:00.000,,,1,,2025-02-01 16:10:05.464,2025-02-01 16:10:05.464,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-02 04:59:59.999,82fdf891-c4d2-49f0-8ffc-864d5ee652ee,
1,2025-02-02 05:00:00.000,,,1,,2025-02-02 17:07:11.496,2025-02-02 17:07:11.496,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-03 04:59:59.999,4fffe45e-f5aa-4ab4-87e6-6087005c9187,
1,2025-02-07 05:00:00.000,,,1,,2025-02-07 14:30:09.514,2025-02-07 14:30:09.514,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-08 04:59:59.999,b1719a5a-c7f7-4969-bf51-578083ec5cac,
1,2025-02-15 05:00:00.000,,,1,,2025-02-15 14:25:39.378,2025-02-15 14:25:39.378,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-16 04:59:59.999,18a8c935-0d11-4dfa-8377-13c47fdb31cd,
1,2025-02-16 05:00:00.000,,,1,,2025-02-16 14:59:36.910,2025-02-16 14:59:36.910,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-17 04:59:59.999,41cbe37e-1e98-4d99-9860-816f1a8bc8c4,
1,2025-02-20 05:00:00.000,,,1,,2025-02-20 13:14:47.421,2025-02-20 13:14:47.421,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-21 04:59:59.999,610503a3-a28a-43bb-8d25-40f470599528,
,2025-02-22 18:37:26.580,14001,,1,,2025-02-23 04:30:49.131,2025-02-23 04:30:49.131,,exercise_goal_first_achieve,,,UTC-0500,,KccLfCO56W,com.sec.android.app.shealth,1b0e9e88-55c6-4bcd-9fc2-e68598ca14b0,tracker.exercise,2025-02-22 19:04:48.180,30976bb3-eb5f-479d-9e4c-a10ec3dc641a,
1,2025-02-23 05:00:00.000,,,1,,2025-02-23 13:25:13.408,2025-02-23 13:25:13.408,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-24 04:59:59.999,08fa14c8-9171-42d2-ad9b-7d78beb23554,
1,2025-02-24 05:00:00.000,,,1,,2025-02-24 12:38:45.071,2025-02-24 12:38:45.071,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-02-25 04:59:59.999,7fbbdcd3-58a3-49fd-b9c2-6f7f4954ee67,
1,2025-02-28 05:00:00.000,,,1,,2025-02-28 13:41:52.719,2025-02-28 13:41:52.719,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-01 04:59:59.999,1ab85209-fda4-4b7b-af11-8a8224c85cfa,
1,2025-03-03 05:00:00.000,,,1,,2025-03-03 13:15:42.911,2025-03-03 13:15:42.911,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-04 04:59:59.999,dd5506e0-c494-452d-aba0-96adf9e65504,
,2025-03-03 00:00:00.000,,,1,,2025-03-03 13:15:43.671,2025-03-03 13:15:43.671,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-03-03 00:00:00.000,14899025-5d02-4908-8fc3-6bccbe84824e,
1,2025-03-06 05:00:00.000,,,1,,2025-03-06 14:54:59.571,2025-03-06 14:54:59.571,,sleep_excellent_sleep,,,UTC-0500,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-07 04:59:59.999,46b7f519-d409-45d8-931f-bd50e6adcfb8,
,2025-03-06 00:00:00.000,,,1,,2025-03-06 14:55:00.815,2025-03-06 14:55:00.815,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-03-06 00:00:00.000,cc5a88b5-badf-4105-91a9-01425f5bfa33,
1,2025-03-10 04:00:00.000,,,1,,2025-03-10 12:53:38.496,2025-03-10 12:53:38.496,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-11 03:59:59.999,d2fff0e5-6c1a-443a-adc2-dbd2a963a36b,
1,2025-03-11 04:00:00.000,,,1,,2025-03-11 13:07:06.661,2025-03-11 13:07:06.661,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-12 03:59:59.999,26b6f251-e044-4981-95a9-56d144911d17,
,2025-03-11 00:00:00.000,,,1,,2025-03-11 13:07:07.382,2025-03-11 13:07:07.382,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-03-11 00:00:00.000,ed1913ed-c559-4698-9c07-8fcdfb4001dc,
1,2025-03-17 04:00:00.000,,,1,,2025-03-17 12:00:22.770,2025-03-17 12:00:22.770,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-18 03:59:59.999,0fb8a797-26d2-44dc-b141-96149c399233,
,2025-03-19 00:00:00.000,,,1,,2025-03-19 12:53:33.532,2025-03-19 12:53:33.532,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-03-19 00:00:00.000,f6969fed-1bdd-46f6-86ec-ea202e9ba20e,
1,2025-03-21 04:00:00.000,,,1,,2025-03-21 11:47:12.674,2025-03-21 11:47:12.674,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-03-22 03:59:59.999,f69b5a5b-beb5-42ca-bdec-b26a30ee9b52,
,2025-03-22 00:00:00.000,,,1,,2025-03-22 12:53:58.015,2025-03-22 12:53:58.015,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-03-22 00:00:00.000,f2f23763-7cc8-4151-8170-6c50624dc73b,
,2025-03-23 00:00:00.000,,,1,,2025-03-23 13:53:16.244,2025-03-23 13:53:16.244,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-03-23 00:00:00.000,d1916636-0929-4a66-931d-878421621934,
,2025-04-03 00:00:00.000,,,1,,2025-04-03 12:34:04.031,2025-04-03 12:34:04.031,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-04-03 00:00:00.000,6d88be06-a6f9-4ad2-bced-f444956170c1,
,2025-04-04 00:00:00.000,,,1,,2025-04-04 13:27:06.430,2025-04-04 13:27:06.430,,vitality_excellent,,,UTC+0000,,OKVbQxqZP/,com.sec.android.app.shealth,,tracker.vitality,2025-04-04 00:00:00.000,c2902eef-6117-4811-8a6c-63a1491eafcb,
1,2025-04-05 04:00:00.000,,,1,,2025-04-05 20:41:52.607,2025-04-05 20:41:52.607,,sleep_excellent_sleep,,,UTC-0400,,OKVbQxqZP/,com.sec.android.app.shealth,,Sleep.Goal,2025-04-06 03:59:59.999,20acb44e-f203-4e7d-9cc5-9a1567888355,
