com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62660010,null,5,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,4,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,03ebe6d2-7784-4717-812c-7ee3954f144f,0,
62660010,null,6,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,4,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,df9dc684-b1d6-4dae-987d-ed13160c957e,0,
62660010,null,9,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,4,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,bbb5a40c-c2da-4776-a251-8a70b53434aa,0,
62660010,null,10,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,5,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,10b1f71a-b743-4dc1-a45f-c80cacace7ff,0,
62660010,null,11,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,5,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,a8f85647-aba1-4227-9887-3a0794aa2b1b,0,
62660010,null,2,62660010,2024-04-22 00:04:53.318,2024-04-15 22:45:56.140,2,5,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,41b2593f-c98d-4ec1-90c9-1692140b7fb6,3,
62660010,null,3,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,5,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,e91ceed6-ffea-454a-aa4c-f10f4107150f,0,
62660010,null,5,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,5,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,1d784fb5-25fa-4731-8060-4945ebae23a3,0,
62660010,null,6,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,5,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,661c7db9-15ca-4daa-8b1d-0fec713a1c69,0,
62660010,null,9,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,5,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,d6fe1bfe-6ee7-4aa3-8d46-bc6c756880f5,0,
62660010,null,10,62660010,2024-04-15 22:45:56.140,2024-04-15 22:45:56.140,2,6,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,e243fd48-6190-4718-a4bf-9793e21b0b58,0,
62660010,null,11,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,6,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,e9d18211-5eb1-4615-96c5-7d61c6e05756,0,
62660010,null,2,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,6,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,ff0a3450-880f-47e1-a736-51e629c9dc9d,0,
62660010,null,3,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,6,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,d5005b48-4b54-4e11-a7f2-adff7402986b,0,
62660010,null,5,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,6,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,45e5dff0-ddec-4ec0-8314-aa914b94bbe3,0,
62660010,null,6,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,6,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,794cb1b0-6eae-4cb7-90be-544303843338,0,
62660010,null,9,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,6,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,c4f92644-3655-44e2-bff2-3c24d1c2b81b,0,
62660010,null,2,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,57aa6df3-5063-4bb9-8e3b-4fe59dc1efaa,0,
62660010,null,10,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,3edccaf0-8004-4f99-a523-29a8965fa38e,0,
62660010,null,11,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,b54c41cb-cdd4-40ed-88ea-79b99f8ed0bc,0,
62660010,null,3,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,0a26b511-8357-4bfa-bd50-45b8fd3dddc1,0,
62660010,null,5,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,9a99bda8-7d5e-4545-a03b-e2316a23348a,0,
62660010,null,6,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,089700c7-4e5b-4611-b2b9-ef63a3d2d0e6,0,
62660010,null,9,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,7,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,64ad844c-36b6-4118-9811-65dfbbd572e3,0,
62660010,null,2,62660010,2024-04-24 17:05:20.922,2024-04-15 22:45:56.141,2,8,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,ea2245ba-abac-4f79-867d-3167d6b46fd1,3,
62660010,null,10,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,8,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,256218cf-10ce-417b-b256-161d1248351a,0,
62660010,null,11,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,8,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,608e1d7d-c586-445f-bc10-7009e5c04fed,0,
62660010,null,3,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,8,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,6d4cd4dd-4803-4bf0-8712-b98db456351b,0,
62660010,null,5,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,8,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,ade4ad90-a464-4afc-b63e-fd49b1cb45b2,0,
62660010,null,6,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,8,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,c8c311a5-6135-40a4-b84b-161f0b0fbd17,0,
62660010,null,9,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,8,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,4c57f8a9-aa10-4e2c-9a9d-e7ae2f4e241e,0,
62660010,null,2,62660010,2024-04-25 09:55:07.296,2024-04-15 22:45:56.141,2,9,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,db1474ce-369f-4332-b1be-801fd5490f65,3,
