com.samsung.shealth.cycle.daily_temperature.raw,6307003,2
start_time,custom,hr_rri,update_time,create_time,temperature,time_offset,deviceuuid,pkg_name,tracked_by,end_time,datauuid
2024-05-02 02:51:00.000,,30484d0a-7481-4f58-a22e-848053516e76.hr_rri.json,2024-05-02 10:47:30.587,2024-05-02 10:47:30.587,30484d0a-7481-4f58-a22e-848053516e76.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-02 10:23:00.000,30484d0a-7481-4f58-a22e-848053516e76,
2024-05-03 02:48:00.000,,291ebe85-9fd2-4474-855c-29f2af026df7.hr_rri.json,2024-05-03 10:31:48.983,2024-05-03 10:31:48.983,291ebe85-9fd2-4474-855c-29f2af026df7.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-03 10:31:00.000,291ebe85-9fd2-4474-855c-29f2af026df7,
2024-05-04 03:40:00.000,,dcd0eb2d-35a8-4760-b715-7794519e2b32.hr_rri.json,2024-05-04 10:06:26.839,2024-05-04 10:06:26.839,dcd0eb2d-35a8-4760-b715-7794519e2b32.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-04 10:06:00.000,dcd0eb2d-35a8-4760-b715-7794519e2b32,
2024-05-04 10:35:00.000,,f02dbad7-4125-492b-a3cc-75b4ecd4a8fb.hr_rri.json,2024-05-04 10:57:59.245,2024-05-04 10:57:59.245,f02dbad7-4125-492b-a3cc-75b4ecd4a8fb.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-04 10:57:00.000,f02dbad7-4125-492b-a3cc-75b4ecd4a8fb,
2024-05-05 03:17:00.000,,0cd73897-ab08-4c51-937a-df8b71718c59.hr_rri.json,2024-05-05 10:51:09.813,2024-05-05 10:51:09.813,0cd73897-ab08-4c51-937a-df8b71718c59.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-05 10:51:00.000,0cd73897-ab08-4c51-937a-df8b71718c59,
2024-05-06 03:03:00.000,,0460f85b-a6a9-45ae-b8f5-adc31f14fafe.hr_rri.json,2024-05-06 04:59:16.212,2024-05-06 04:59:16.212,0460f85b-a6a9-45ae-b8f5-adc31f14fafe.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-06 04:34:00.000,0460f85b-a6a9-45ae-b8f5-adc31f14fafe,
2024-05-06 08:00:00.000,,c14b4308-6a1e-4e31-b9ce-e7ce77fc6455.hr_rri.json,2024-05-06 10:05:25.999,2024-05-06 10:05:25.999,c14b4308-6a1e-4e31-b9ce-e7ce77fc6455.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-06 10:05:00.000,c14b4308-6a1e-4e31-b9ce-e7ce77fc6455,
2024-05-07 03:32:00.000,,c594a1f6-63ab-4fb4-b0ec-5569a4692b49.hr_rri.json,2024-05-07 10:35:25.592,2024-05-07 10:35:25.592,c594a1f6-63ab-4fb4-b0ec-5569a4692b49.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-07 10:35:00.000,c594a1f6-63ab-4fb4-b0ec-5569a4692b49,
2024-05-08 03:32:00.000,,afce75c0-68c7-4989-948a-e27f52ece658.hr_rri.json,2024-05-08 10:54:58.386,2024-05-08 10:54:58.386,afce75c0-68c7-4989-948a-e27f52ece658.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-08 10:49:00.000,afce75c0-68c7-4989-948a-e27f52ece658,
2024-05-09 03:21:00.000,,e761ec70-63b2-48cc-a5e6-548012dabedc.hr_rri.json,2024-05-09 10:36:39.594,2024-05-09 10:36:39.594,e761ec70-63b2-48cc-a5e6-548012dabedc.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-09 10:30:00.000,e761ec70-63b2-48cc-a5e6-548012dabedc,
