"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.939050230E-1,-3.735437989E-1,-7.365502119E-1,5.314523727E-2,8.275660702E-1
2.960622110E-1,-3.808741868E-1,-7.328850031E-1,4.948004708E-2,8.274260384E-1
2.982193980E-1,-3.882045746E-1,-7.267763615E-1,4.948004708E-2,8.254422732E-1
3.003765860E-1,-3.979783952E-1,-7.267763615E-1,4.825831577E-2,8.300117756E-1
3.025338250E-1,-4.089739621E-1,-7.389936447E-1,4.703658819E-2,8.459218340E-1
3.046909610E-1,-4.199695289E-1,-7.438805699E-1,5.070177838E-2,8.557472628E-1
3.068481480E-1,-4.321868420E-1,-7.646499872E-1,5.192350596E-2,8.798699448E-1
3.090053360E-1,-4.419606626E-1,-7.878628373E-1,5.314523727E-2,9.049207114E-1
3.111625230E-1,-4.529562294E-1,-8.220712543E-1,5.436696485E-2,9.401735264E-1
3.133197110E-1,-4.639517963E-1,-8.575014472E-1,5.436696485E-2,9.764813199E-1
3.154768980E-1,-4.749473631E-1,-8.953750730E-1,5.558869615E-2,1.015067299E0
3.176340860E-1,-4.883863926E-1,-9.283617735E-1,5.558869615E-2,1.050460353E0
3.197912730E-1,-5.030471683E-1,-9.625701904E-1,5.436696485E-2,1.087452800E0
3.219484610E-1,-5.164861679E-1,-9.906699657E-1,5.558869615E-2,1.118604061E0
3.241056480E-1,-5.287034512E-1,-1.023656607E0,5.803215504E-2,1.153589146E0
3.262628360E-1,-5.433642268E-1,-1.059086800E0,6.291907281E-2,1.192001821E0
3.284200230E-1,-5.629118681E-1,-1.098182201E0,6.780599058E-2,1.235909208E0
3.305771580E-1,-5.775726438E-1,-1.125060201E0,7.513637096E-2,1.266884402E0
3.327343980E-1,-5.946768522E-1,-1.156825185E0,8.246674389E-2,1.303336423E0
3.348915330E-1,-6.081159115E-1,-1.184924960E0,9.101885557E-2,1.334966874E0
3.370487210E-1,-6.252201200E-1,-1.220355153E0,9.957095981E-2,1.374802267E0
3.392059080E-1,-6.411026120E-1,-1.248454928E0,1.081230640E-1,1.407601813E0
3.413630960E-1,-6.545416117E-1,-1.270446062E0,1.178968996E-1,1.434000557E0
3.435202830E-1,-6.692023873E-1,-1.298545837E0,1.288924664E-1,1.466515051E0
3.456774710E-1,-6.814196706E-1,-1.319315195E0,1.386663020E-1,1.491359680E0
3.478346580E-1,-6.948586702E-1,-1.340084553E0,1.472184062E-1,1.516683368E0
3.499918460E-1,-7.082977295E-1,-1.349858403E0,1.533270627E-1,1.532094178E0
3.521490330E-1,-7.229584455E-1,-1.363297462E0,1.606574357E-1,1.551470173E0
3.543062210E-1,-7.339540124E-1,-1.375514746E0,1.692095399E-1,1.568235051E0
3.564634080E-1,-7.473930717E-1,-1.388953805E0,1.753181964E-1,1.586986309E0
3.586205960E-1,-7.608320713E-1,-1.406057954E0,1.814268380E-1,1.608968647E0
3.607777830E-1,-7.742711306E-1,-1.419497013E0,1.887572110E-1,1.627911803E0
3.629349710E-1,-7.901535630E-1,-1.437822938E0,1.960875988E-1,1.652309838E0
3.650921060E-1,-8.035926223E-1,-1.453705430E0,2.046397030E-1,1.673588357E0
3.672493460E-1,-8.158099055E-1,-1.464701056E0,2.107483447E-1,1.689766212E0
3.694064810E-1,-8.268054724E-1,-1.484248757E0,2.180787325E-1,1.712938994E0
3.715636690E-1,-8.353576064E-1,-1.492800832E0,2.266308367E-1,1.725583435E0
3.737209080E-1,-8.439096808E-1,-1.495244265E0,2.339612097E-1,1.732823363E0
3.758780440E-1,-8.573487401E-1,-1.497687697E0,2.400698513E-1,1.742340046E0
3.780352310E-1,-8.695660233E-1,-1.502574682E0,2.449567765E-1,1.753248290E0
3.801924190E-1,-8.793398738E-1,-1.502574682E0,2.510654330E-1,1.758977868E0
3.823496060E-1,-8.891136646E-1,-1.498909473E0,2.522871494E-1,1.760937683E0
3.845067940E-1,-8.952223063E-1,-1.495244265E0,2.547306120E-1,1.761268314E0
3.866639810E-1,-9.025527239E-1,-1.497687697E0,2.559523284E-1,1.767252515E0
3.888211690E-1,-9.111047983E-1,-1.497687697E0,2.571740746E-1,1.771812320E0
3.909783560E-1,-9.147700071E-1,-1.489135623E0,2.596175373E-1,1.766841910E0
3.931355440E-1,-9.172134399E-1,-1.492800832E0,2.596175373E-1,1.771196230E0
3.952927310E-1,-9.147700071E-1,-1.492800832E0,2.596175373E-1,1.769932133E0
3.974499190E-1,-9.086613655E-1,-1.491579056E0,2.559523284E-1,1.765215327E0
3.996071060E-1,-8.988875151E-1,-1.480583549E0,2.522871494E-1,1.750364309E0
4.017642940E-1,-8.854485154E-1,-1.470809698E0,2.474002391E-1,1.734504863E0
4.039214290E-1,-8.683443069E-1,-1.458592415E0,2.437350452E-1,1.714911205E0
4.060786690E-1,-8.500183225E-1,-1.445153356E0,2.412915826E-1,1.693877504E0
4.082358040E-1,-8.243620396E-1,-1.440266490E0,2.388481349E-1,1.676600360E0
4.103929920E-1,-7.913753390E-1,-1.406057954E0,2.351829410E-1,1.630516762E0
4.125501790E-1,-7.596103549E-1,-1.396284223E0,2.315177470E-1,1.606305696E0
4.147073670E-1,-7.241802216E-1,-1.380401731E0,2.290742993E-1,1.575570045E0
4.168645540E-1,-6.924152374E-1,-1.382845163E0,2.241873741E-1,1.562677057E0
4.190217420E-1,-6.618719697E-1,-1.386510372E0,2.217439115E-1,1.552306632E0
4.211789290E-1,-6.313287616E-1,-1.387732029E0,2.205221802E-1,1.540456498E0
4.233361170E-1,-6.056724191E-1,-1.396284223E0,2.205221802E-1,1.537881251E0
4.254933040E-1,-5.836812854E-1,-1.384066820E0,2.205221802E-1,1.518207772E0
4.276504920E-1,-5.616901517E-1,-1.370627880E0,2.205221802E-1,1.497580263E0
4.298076790E-1,-5.445859432E-1,-1.360854030E0,2.205221802E-1,1.482271086E0
4.319648150E-1,-5.287034512E-1,-1.338862896E0,2.217439115E-1,1.456451700E0
4.341220540E-1,-5.189296007E-1,-1.316871762E0,2.278525680E-1,1.433651269E0
4.362792420E-1,-5.067123175E-1,-1.291215420E0,2.351829410E-1,1.406877979E0
4.384364290E-1,-4.908298552E-1,-1.264337420E0,2.437350452E-1,1.377994859E0
4.405935650E-1,-4.749473631E-1,-1.242346287E0,2.510654330E-1,1.353526190E0
4.427507520E-1,-4.553996921E-1,-1.206916094E0,2.608392537E-1,1.316082237E0
4.449079400E-1,-4.370737374E-1,-1.169042468E0,2.681696415E-1,1.276561280E0
4.470651270E-1,-4.187478125E-1,-1.128725410E0,2.767217457E-1,1.235291749E0
4.492223150E-1,-4.016436040E-1,-1.079856157E0,2.840521336E-1,1.186630743E0
4.513795020E-1,-3.869828284E-1,-1.045647740E0,2.913824916E-1,1.152405598E0
4.535366900E-1,-3.735437989E-1,-1.008995891E0,2.974911332E-1,1.116292368E0
