"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.379959430E-1,1.527161920E-3,2.596175298E-3,4.581485991E-4,3.046678494E-3
2.401532860E-1,3.054323897E-4,-3.512472380E-3,4.581485991E-4,3.555369362E-3
2.423105780E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
2.444679220E-1,1.527161920E-3,-1.069013379E-3,4.581485991E-4,1.919612792E-3
2.466252140E-1,2.748891478E-3,-2.290742937E-3,-7.635809598E-4,3.658819953E-3
2.487825050E-1,3.970621154E-3,-2.290742937E-3,4.581485991E-4,4.606868317E-3
2.509397970E-1,1.527161920E-3,-3.512472380E-3,4.581485991E-4,3.857406627E-3
2.530970890E-1,2.748891478E-3,-2.290742937E-3,-7.635809598E-4,3.658819953E-3
2.552544320E-1,2.748891478E-3,2.596175298E-3,-7.635809598E-4,3.857406696E-3
2.574117240E-1,3.054323897E-4,1.527161949E-4,-7.635809598E-4,8.364610349E-4
2.595690160E-1,1.527161920E-3,2.596175298E-3,4.581485991E-4,3.046678494E-3
2.617263070E-1,-9.162971983E-4,-2.290742937E-3,4.581485991E-4,2.509383171E-3
2.638836510E-1,-9.162971983E-4,-3.512472380E-3,-7.635809598E-4,3.709463392E-3
2.660409430E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
2.681982860E-1,-9.162971983E-4,1.527161949E-4,1.679878100E-3,1.919612779E-3
2.703555780E-1,-2.138026757E-3,1.374445739E-3,4.581485991E-4,2.582665221E-3
2.725128700E-1,-2.138026757E-3,1.374445739E-3,4.581485991E-4,2.582665221E-3
2.746702140E-1,-9.162971983E-4,3.817904973E-3,4.581485991E-4,3.952960799E-3
2.768275050E-1,3.054323897E-4,1.725693047E-2,4.581485991E-4,1.726571280E-2
2.789847970E-1,-2.138026757E-3,1.527161949E-4,-7.635809598E-4,2.275420078E-3
2.811421410E-1,-2.138026757E-3,1.374445739E-3,-7.635809598E-4,2.653924525E-3
2.832994320E-1,3.054323897E-4,2.596175298E-3,4.581485991E-4,2.653924502E-3
2.854567240E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
2.876140680E-1,1.527161920E-3,-2.290742937E-3,4.581485991E-4,2.790990303E-3
2.897713590E-1,3.970621154E-3,1.374445739E-3,4.581485991E-4,4.226681154E-3
2.919329740E-1,1.527161920E-3,1.527161949E-4,4.581485991E-4,1.601700941E-3
2.940859430E-1,3.970621154E-3,-1.069013379E-3,-7.635809598E-4,4.182305325E-3
2.962432340E-1,1.527161920E-3,1.374445739E-3,-7.635809598E-4,2.191889710E-3
2.984005780E-1,1.527161920E-3,-1.069013379E-3,-7.635809598E-4,2.014464945E-3
3.005578700E-1,3.054323897E-4,1.374445739E-3,-7.635809598E-4,1.601700945E-3
3.027152140E-1,-9.162971983E-4,1.527161949E-4,1.679878100E-3,1.919612779E-3
3.048725050E-1,-9.162971983E-4,-4.734201822E-3,4.581485991E-4,4.843776171E-3
3.070297970E-1,-9.162971983E-4,1.527161949E-4,-7.635809598E-4,1.202488534E-3
3.091871410E-1,-9.162971983E-4,-1.069013379E-3,-7.635809598E-4,1.601700984E-3
3.113444320E-1,-9.162971983E-4,1.374445739E-3,-7.635809598E-4,1.819823488E-3
3.135017240E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
3.156590680E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
3.178163590E-1,-9.162971983E-4,-2.290742937E-3,4.581485991E-4,2.509383171E-3
3.199736510E-1,-9.162971983E-4,2.596175298E-3,4.581485991E-4,2.790990303E-3
3.221309950E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
3.242914110E-1,-9.162971983E-4,3.817904973E-3,4.581485991E-4,3.952960799E-3
3.264453700E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
3.286029220E-1,1.527161920E-3,1.527161949E-4,-7.635809598E-4,1.714235003E-3
3.307602140E-1,3.054323897E-4,2.596175298E-3,-7.635809598E-4,2.723319850E-3
3.329175050E-1,1.527161920E-3,2.596175298E-3,4.581485991E-4,3.046678494E-3
3.350747970E-1,2.748891478E-3,2.596175298E-3,-7.635809598E-4,3.857406696E-3
3.372321410E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
3.393894320E-1,1.527161920E-3,1.527161949E-4,4.581485991E-4,1.601700941E-3
3.415467240E-1,1.527161920E-3,-2.290742937E-3,4.581485991E-4,2.790990303E-3
3.437040680E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
3.458613590E-1,1.527161920E-3,7.483093534E-3,-7.635809598E-4,7.675413230E-3
3.480186510E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
3.501759950E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
3.523332860E-1,-9.162971983E-4,1.374445739E-3,1.679878100E-3,2.355990678E-3
3.544905780E-1,1.527161920E-3,2.596175298E-3,-7.635809598E-4,3.107314852E-3
3.566479220E-1,3.054323897E-4,-3.512472380E-3,-7.635809598E-4,3.607465460E-3
3.588052140E-1,-2.138026757E-3,-1.069013379E-3,4.581485991E-4,2.433895675E-3
3.609625050E-1,3.054323897E-4,1.527161949E-4,-7.635809598E-4,8.364610349E-4
3.631198490E-1,-2.138026757E-3,-1.069013379E-3,4.581485991E-4,2.433895675E-3
3.652771410E-1,-3.359756200E-3,-1.069013379E-3,4.581485991E-4,3.555369385E-3
3.674344320E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
3.695917240E-1,-3.359756200E-3,-1.069013379E-3,4.581485991E-4,3.555369385E-3
3.717490680E-1,3.054323897E-4,5.039634649E-3,4.581485991E-4,5.069625871E-3
3.739063590E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
3.760636510E-1,2.748891478E-3,2.596175298E-3,4.581485991E-4,3.808730849E-3
3.782209950E-1,3.054323897E-4,1.374445739E-3,-7.635809598E-4,1.601700945E-3
3.803782860E-1,1.527161920E-3,-1.069013379E-3,-7.635809598E-4,2.014464945E-3
3.825355780E-1,1.527161920E-3,1.527161949E-4,-7.635809598E-4,1.714235003E-3
3.846929220E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
3.868502140E-1,-9.162971983E-4,-2.290742937E-3,4.581485991E-4,2.509383171E-3
3.890075050E-1,3.054323897E-4,-7.177661173E-3,4.581485991E-4,7.198750516E-3
3.911647970E-1,3.054323897E-4,-3.512472380E-3,4.581485991E-4,3.555369362E-3
3.933221410E-1,-9.162971983E-4,-2.290742937E-3,4.581485991E-4,2.509383171E-3
3.954794320E-1,3.054323897E-4,-3.512472380E-3,4.581485991E-4,3.555369362E-3
3.976367240E-1,-9.162971983E-4,3.817904973E-3,4.581485991E-4,3.952960799E-3
3.997940680E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
4.019513590E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
4.041087030E-1,3.054323897E-4,5.039634649E-3,4.581485991E-4,5.069625871E-3
4.062659950E-1,3.054323897E-4,3.817904973E-3,4.581485991E-4,3.857406832E-3
4.084232860E-1,3.054323897E-4,1.374445739E-3,-7.635809598E-4,1.601700945E-3
4.105805780E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
4.127379220E-1,-2.138026757E-3,-3.512472380E-3,4.581485991E-4,4.137453416E-3
4.148952140E-1,-9.162971983E-4,-7.177661173E-3,4.581485991E-4,7.250401410E-3
4.170525050E-1,-2.138026757E-3,-4.734201822E-3,4.581485991E-4,5.214760344E-3
4.192098490E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
4.213671410E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
4.235244320E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
4.256817240E-1,1.527161920E-3,-1.069013379E-3,4.581485991E-4,1.919612792E-3
4.278390680E-1,1.527161920E-3,-2.290742937E-3,-7.635809598E-4,2.857058385E-3
4.299963590E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
4.321536510E-1,3.054323897E-4,-1.069013379E-3,-7.635809598E-4,1.348752917E-3
4.343109950E-1,1.527161920E-3,1.374445739E-3,-7.635809598E-4,2.191889710E-3
4.364682860E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
4.386255780E-1,3.054323897E-4,-3.512472380E-3,4.581485991E-4,3.555369362E-3
4.407828700E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
4.429402140E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
4.450975050E-1,3.054323897E-4,2.596175298E-3,4.581485991E-4,2.653924502E-3
4.472548490E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
4.494121410E-1,-9.162971983E-4,-2.290742937E-3,4.581485991E-4,2.509383171E-3
4.515694320E-1,-9.162971983E-4,3.817904973E-3,4.581485991E-4,3.952960799E-3
4.537267760E-1,-2.138026757E-3,1.527161949E-4,4.581485991E-4,2.191889776E-3
4.558840680E-1,-2.138026757E-3,-3.512472380E-3,4.581485991E-4,4.137453416E-3
4.580413590E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
4.601986510E-1,3.054323897E-4,5.039634649E-3,-7.635809598E-4,5.106296331E-3
4.623559950E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
4.645132860E-1,1.527161920E-3,3.817904973E-3,-7.635809598E-4,4.182305321E-3
4.666705780E-1,1.527161920E-3,-2.290742937E-3,4.581485991E-4,2.790990303E-3
4.688279220E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
4.709852140E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
4.731425050E-1,3.054323897E-4,-4.734201822E-3,4.581485991E-4,4.766115397E-3
4.752998490E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
4.774571410E-1,3.054323897E-4,-4.734201822E-3,4.581485991E-4,4.766115397E-3
4.796144320E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
4.817717240E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
4.839290680E-1,3.054323897E-4,1.527161949E-4,-7.635809598E-4,8.364610349E-4
4.860863590E-1,3.054323897E-4,2.596175298E-3,1.679878100E-3,3.107314846E-3
4.882436510E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
4.904009950E-1,3.054323897E-4,1.527161949E-4,-7.635809598E-4,8.364610349E-4
4.925582860E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
4.947156300E-1,1.527161920E-3,5.039634649E-3,4.581485991E-4,5.285833999E-3
4.968729220E-1,-9.162971983E-4,-4.734201822E-3,4.581485991E-4,4.843776171E-3
4.990302140E-1,2.748891478E-3,2.596175298E-3,4.581485991E-4,3.808730849E-3
5.011875050E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
5.033448490E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
5.055021410E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
5.076594320E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
5.098167760E-1,-9.162971983E-4,-3.512472380E-3,-7.635809598E-4,3.709463392E-3
5.119740680E-1,-9.162971983E-4,-7.177661173E-3,4.581485991E-4,7.250401410E-3
5.141313590E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
5.162887030E-1,3.054323897E-4,-1.069013379E-3,1.679878100E-3,2.014464936E-3
5.184459950E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
5.206032860E-1,3.054323897E-4,1.374445739E-3,-7.635809598E-4,1.601700945E-3
5.227606300E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
5.249179220E-1,3.054323897E-4,3.817904973E-3,-1.985310577E-3,4.314063678E-3
5.270752140E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
5.292325050E-1,3.054323897E-4,-1.069013379E-3,-7.635809598E-4,1.348752917E-3
5.313898490E-1,3.054323897E-4,2.596175298E-3,4.581485991E-4,2.653924502E-3
5.335471410E-1,3.054323897E-4,3.817904973E-3,4.581485991E-4,3.857406832E-3
5.357044840E-1,1.527161920E-3,2.596175298E-3,4.581485991E-4,3.046678494E-3
5.378617760E-1,3.054323897E-4,2.596175298E-3,4.581485991E-4,2.653924502E-3
5.400190680E-1,-9.162971983E-4,-3.512472380E-3,4.581485991E-4,3.658819880E-3
5.421763590E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
5.443337030E-1,-9.162971983E-4,-4.734201822E-3,4.581485991E-4,4.843776171E-3
5.464909950E-1,1.527161920E-3,1.374445739E-3,4.581485991E-4,2.105047448E-3
5.486482860E-1,-9.162971983E-4,-3.512472380E-3,4.581485991E-4,3.658819880E-3
5.508055780E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
5.529629220E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
5.551202140E-1,-9.162971983E-4,-4.734201822E-3,4.581485991E-4,4.843776171E-3
5.572775570E-1,1.527161920E-3,1.527161949E-4,4.581485991E-4,1.601700941E-3
5.594348490E-1,1.527161920E-3,-2.290742937E-3,4.581485991E-4,2.790990303E-3
5.615921410E-1,1.527161920E-3,-2.290742937E-3,1.679878100E-3,3.225169323E-3
5.637494320E-1,1.527161920E-3,1.527161949E-4,-7.635809598E-4,1.714235003E-3
5.659067760E-1,-9.162971983E-4,5.039634649E-3,-7.635809598E-4,5.178858352E-3
5.680640680E-1,-9.162971983E-4,1.374445739E-3,-7.635809598E-4,1.819823488E-3
5.702213590E-1,-2.138026757E-3,-2.290742937E-3,4.581485991E-4,3.166790451E-3
5.723786510E-1,3.054323897E-4,2.596175298E-3,4.581485991E-4,2.653924502E-3
5.745359950E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
5.766932860E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
5.788506300E-1,3.054323897E-4,1.527161949E-4,4.581485991E-4,5.714116903E-4
5.810079220E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
5.831652140E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
5.853225050E-1,2.748891478E-3,3.817904973E-3,4.581485991E-4,4.726806838E-3
5.874798490E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
5.896371410E-1,-9.162971983E-4,-3.512472380E-3,4.581485991E-4,3.658819880E-3
5.917944320E-1,-9.162971983E-4,-3.512472380E-3,4.581485991E-4,3.658819880E-3
5.939517760E-1,-3.359756200E-3,-4.734201822E-3,4.581485991E-4,5.823274745E-3
5.961090680E-1,3.054323897E-4,-2.290742937E-3,1.679878100E-3,2.857058379E-3
5.982663590E-1,-9.162971983E-4,-3.512472380E-3,-7.635809598E-4,3.709463392E-3
6.004236510E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
6.025809950E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
6.047382860E-1,1.527161920E-3,5.039634649E-3,4.581485991E-4,5.285833999E-3
6.068955780E-1,-9.162971983E-4,-2.290742937E-3,4.581485991E-4,2.509383171E-3
6.090529220E-1,1.527161920E-3,3.817904973E-3,4.581485991E-4,4.137453571E-3
6.112102140E-1,3.054323897E-4,3.817904973E-3,4.581485991E-4,3.857406832E-3
6.133675050E-1,-9.162971983E-4,-3.512472380E-3,4.581485991E-4,3.658819880E-3
6.155247970E-1,-2.138026757E-3,-1.069013379E-3,4.581485991E-4,2.433895675E-3
6.176821410E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
6.198394320E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
6.219967760E-1,1.527161920E-3,5.039634649E-3,4.581485991E-4,5.285833999E-3
6.241540680E-1,3.054323897E-4,-4.734201822E-3,4.581485991E-4,4.766115397E-3
6.263113590E-1,-9.162971983E-4,-1.069013379E-3,4.581485991E-4,1.480638476E-3
6.284687030E-1,-9.162971983E-4,1.374445739E-3,4.581485991E-4,1.714235044E-3
6.306259950E-1,1.527161920E-3,2.596175298E-3,4.581485991E-4,3.046678494E-3
6.327832860E-1,3.054323897E-4,-1.069013379E-3,-7.635809598E-4,1.348752917E-3
6.349405780E-1,3.054323897E-4,-1.069013379E-3,4.581485991E-4,1.202488539E-3
6.370979220E-1,-9.162971983E-4,1.527161949E-4,4.581485991E-4,1.035771660E-3
6.392552140E-1,1.527161920E-3,3.817904973E-3,4.581485991E-4,4.137453571E-3
6.414125050E-1,1.527161920E-3,-2.290742937E-3,4.581485991E-4,2.790990303E-3
6.435698490E-1,1.527161920E-3,-2.290742937E-3,1.679878100E-3,3.225169323E-3
6.457271410E-1,3.054323897E-4,-2.290742937E-3,4.581485991E-4,2.355990723E-3
6.478844320E-1,3.054323897E-4,1.374445739E-3,-7.635809598E-4,1.601700945E-3
6.500417240E-1,3.054323897E-4,1.374445739E-3,4.581485991E-4,1.480638434E-3
